Sentence,Aspect Term,polarity,Aspect_Label,Sentiment_Label
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",screen,2,14,0
The machine is slow to boot up and occasionally crashes completely.,boot up,0,33,2
"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,0,34,2
I love the operating system and the preloaded software.,operating system,1,35,1
I love the operating system and the preloaded software.,preloaded software,1,36,1
The best thing about this laptop is the price along with some of the newer features.,price,1,37,1
The best thing about this laptop is the price along with some of the newer features.,features,1,10,1
"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",clock in BIOS setup,0,38,2
YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,WARRANTY SERVICE,0,39,2
but now i have realized its a problem with this brand.,brand,0,40,2
I sent it back to Toshiba twice they covered it under the  warranty.,warranty,1,41,1
I was looking for a mac which is portable and has all the features that I was looking for.,features,1,10,1
Also kinda loud when the fan was running.,fan,0,42,2
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",Customer Service number,2,43,0
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",warranty,0,41,2
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",talking to a technician,0,44,2
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,hard disc,0,45,2
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,windows,0,46,2
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,drivers,2,47,0
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,Drivers,1,48,1
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,BIOS update,0,49,2
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,system,0,29,2
Spent 2 hours on phone with HP Technical Support.,HP Technical Support,2,50,0
"Speaking of the browser, it too has problems.",browser,0,51,2
The keyboard is too slick.,keyboard,0,52,2
Nightly my computer defrags itself and runs a virus scan.,virus scan,2,53,0
"It's like 9 punds, but if you can look past it, it's GREAT!",9 punds,0,54,2
It's just as fast with one program open as it is with sixteen open.,program,2,55,0
"Still under warrenty so called Toshiba, no help at all.",warrenty,0,56,2
I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,Toshiba Warranty,0,57,2
Amazing Quality!,Quality,1,58,1
The fact that you can spend over $100 on just a webcam underscores the value of this machine.,webcam,2,59,0
The fact that you can spend over $100 on just a webcam underscores the value of this machine.,value,1,60,1
"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",internet,2,61,0
"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",managing personal files,2,62,0
"A month or so ago, the freaking motherboard just died.",motherboard,0,63,2
"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",system,0,29,2
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,charger,0,64,2
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,hardware,0,65,2
"If a website ever freezes (which is rare), its really easy to force quit.",force quit,1,66,1
It rarely works and when it does it's incredibly slow.,works,0,67,2
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,Windows 7,1,26,1
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,VMWare program,2,68,0
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",operating system,1,35,1
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",runs,1,69,1
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",navigate,1,70,1
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",find files,1,71,1
Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,warrenty,0,56,2
"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",extended warranty,2,72,0
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,memory,2,73,0
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,speed,1,25,1
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,performace,1,74,1
"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.",opening my Documents folder,0,75,2
I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,operating systems,0,76,2
"Then, within 5 months, the charger crapped out on me.",charger,0,64,2
And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,speed,1,25,1
I love the glass touchpad.,glass touchpad,1,77,1
  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,hard drive,0,78,2
  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,mother board,0,79,2
I am using the external speaker- sound is good.,external speaker,1,80,1
I am using the external speaker- sound is good.,sound,1,81,1
"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",battery life,0,1,2
"Then HP sends it back to me with the hardware screwed up, not able to connect.",hardware,0,65,2
"Oh yeah, don't forget the expensive shipping to and from HP.",shipping,0,82,2
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Mac software,1,83,1
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Microsoft software,0,84,2
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",use,1,8,1
"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",delete  key,0,85,2
"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",editing,0,86,2
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use,1,8,1
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,service,1,34,1
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,phone assistance,1,87,1
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,genius bar,1,88,1
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,1,1,1
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,1,1,1
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",gaming,2,23,0
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",movie playing,2,89,0
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",web browsing,2,90,0
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",word editing,2,91,0
"Acer has set me up with FREE recovery discs, when they are available since I asked.",recovery discs,1,92,1
"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","Office Max's ""Max Assurance""",2,93,0
I eventually did the migration from my iMac backup disc which uses USB.,iMac backup disc,2,94,0
I eventually did the migration from my iMac backup disc which uses USB.,USB,2,95,0
"The battery life seems to be very good, and have had no issues with it.",battery life,1,1,1
Enabling the battery timer is useless.,battery timer,0,96,2
Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Temperatures,2,97,0
Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Core Processing Unit temperatures,2,98,0
Going to bring it to service today.,service,2,34,0
"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",virus protection for Mac,1,99,1
"But we had paid for bluetooth, and there was none.",bluetooth,0,100,2
"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",LG notebook service center,2,101,0
"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",hinge,0,102,2
"My daughter uses it for games, email, facebook, pictures and music.",games,2,103,0
"It is always reliable, never bugged and responds well.",responds,1,104,1
After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,0,63,2
After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,2,63,0
"It was slow, locked up, and also had hardware replaced after only 2 months!",hardware,0,65,2
they had to replace the motherboard in April,motherboard,0,63,2
"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",use,1,8,1
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",representive at Microsoft,0,105,2
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",system,0,29,2
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",XP,1,106,1
I love WIndows 7 which is a vast improvment over Vista.,WIndows 7,1,107,1
I love WIndows 7 which is a vast improvment over Vista.,Vista,0,108,2
"Keyboard is great, very quiet for all the typing that I do.",Keyboard,1,109,1
Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,Dell's customer disservice,0,110,2
"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",cooling system,0,111,2
"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",use,2,8,0
"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.",quad core I7,1,112,1
"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.",sales associate,1,113,1
"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",system,1,29,1
"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",Windows applications,2,114,0
You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,virus program,0,115,2
It weighed like seven pounds or something like that.,weighed,2,116,0
It weighed like seven pounds or something like that.,seven pounds,2,117,0
"2 months later, the battery went.",battery,0,17,2
You may need to special order a bag.,bag,2,118,0
It's color is even cool.,color,1,119,1
keys are all in weird places and is way too large for the way it is designed.,keys,0,120,2
keys are all in weird places and is way too large for the way it is designed.,designed,0,121,2
"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",style,1,122,1
"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",speed,1,25,1
The keyboard feels good and I type just fine on it.,keyboard,1,52,1
I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,mousepad,2,123,0
"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.",battery,0,17,2
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",sales,1,124,1
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",service,1,34,1
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",DELL SUPPORT,1,125,1
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",hard drive,2,78,0
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",motherboard,2,63,0
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",speed,1,25,1
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",construction quality,1,126,1
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",longevity,1,127,1
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keyboard,1,52,1
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keys,1,120,1
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","configuration of ""extra key""",1,128,1
) I also tried the touch pad and compared it to other netbooks in the store.,touch pad,2,129,0
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",use,1,8,1
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",security,1,130,1
"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",use,0,8,2
"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",work,0,131,2
lots of preloaded software.,preloaded software,1,36,1
"I wish it had a webcam though, then it would be perfect!",webcam,0,59,2
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,vga port,1,132,1
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,screen,2,14,0
Another thing I might add is the battery life is excellent.,battery life,1,1,1
"One drawback, I wish the keys were backlit.",keys,0,120,2
"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.",software,1,28,1
I wish the volume could be louder and the mouse didnt break after only a month.,volume,0,133,2
I wish the volume could be louder and the mouse didnt break after only a month.,mouse,0,134,2
"I play a lot of casual games online, and the touchpad is very responsive.",touchpad,1,135,1
"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",boots up,1,136,1
It caught a virus that completely wiped out my hard drive in a matter of hours.,hard drive,0,78,2
"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.",look and feel standpoint,1,137,1
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,0,138,2
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,0,138,2
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,Mozzilla firfox,1,139,1
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",Bluetooth,0,140,2
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",fingerprint reader driver,0,141,2
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",software,0,28,2
"Great battery, speed, display.",battery,1,17,1
"Great battery, speed, display.",speed,1,25,1
"Great battery, speed, display.",display,1,142,1
"The delivery was fast, and I would not hesitate to purchase this laptop again.",delivery,1,143,1
I've been impressed with the battery life and the performance for such a small amount of memory.,battery life,1,1,1
I've been impressed with the battery life and the performance for such a small amount of memory.,performance,1,144,1
I've been impressed with the battery life and the performance for such a small amount of memory.,memory,0,73,2
"It's applications are terrific, including the replacements for Microsoft office.",applications,1,7,1
"It's applications are terrific, including the replacements for Microsoft office.",Microsoft office,1,145,1
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",Resolution,0,146,2
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",appearance,0,147,2
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",cooling system,0,111,2
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",graphics card,0,148,2
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in webcam,0,149,2
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in mic,0,150,2
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",cam,0,151,2
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",mic,0,152,2
Is this partially due to the fact that it is running Windows Vista?,Windows Vista,2,153,0
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,board,0,154,2
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,connector,0,155,2
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,0,156,2
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,warrenty,0,56,2
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,0,156,2
"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",ethernet,1,157,1
"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",works,1,67,1
Mostly I love the drag and drop feature.,drag and drop feature,1,158,1
"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?",webcam,0,59,2
"I ordered through MacMall, which saved me the sales tax I would have incurred buying locally.",sales tax,1,159,1
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",software packages,1,160,1
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",iWork,1,161,1
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",GarageBand,1,162,1
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",iMovie,1,163,1
The screen is very large and crystal clear with amazing colors and resolution.,screen,1,14,1
The screen is very large and crystal clear with amazing colors and resolution.,colors,1,164,1
The screen is very large and crystal clear with amazing colors and resolution.,resolution,1,165,1
"After a little more than a year of owning my MacBook Pro, the monitor has completely died.",monitor,0,166,2
"The brand of iTunes has just become ingrained in our lexicon now, but keep in mind that Apple started it all.",iTunes,1,167,1
"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",Size,0,168,2
"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",external monitor,2,169,0
Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,base installation,0,170,2
Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,software,0,28,2
  Taking it back to Best Buy I found that a tiny plastic piece inside had broken (manuf issue).,manuf,0,171,2
"The display is incredibly bright, much brighter than my PowerBook and very crisp.",display,1,142,1
The AMD Turin processor seems to always perform so much better than Intel.,AMD Turin processor,1,172,1
The AMD Turin processor seems to always perform so much better than Intel.,Intel,0,173,2
  After that the said it was under warranty.,warranty,2,41,0
The start menu is not the easiest thing to navigate due to the stacking.,start menu,0,174,2
The start menu is not the easiest thing to navigate due to the stacking.,navigate,0,70,2
Only thing I would want to add to this is an internal bluray read/write drive.,bluray read/write drive,0,175,2
The service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.,service tech,0,176,2
"The tech store I purchased this from sent it back,,,,,eventually I got a new or repaired machine approximately 3 weeks later.",tech store,0,177,2
Really like the textured surface which shows no fingerprints.,surface,1,178,1
The screen is bright and the keyboard is nice;,screen,1,14,1
The screen is bright and the keyboard is nice;,keyboard,1,52,1
But the machine is awesome and iLife is great and I love Snow Leopard X.,iLife,1,179,1
But the machine is awesome and iLife is great and I love Snow Leopard X.,Snow Leopard X,1,180,1
"High price tag, however.",price tag,0,181,2
"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.",Mac OS,1,182,1
"I had static in the output, and I had to reduce the sound output quality to ""FM"" as opposed to the default ""CD.",sound output quality,0,183,2
I custom ordered the machine from HP and could NOT understand the techie due to his accent.,techie,0,184,2
It is easy to use and lightweight.,use,1,8,1
I went to Toshiba online help and found some suggestions to fix it.,Toshiba online help,1,185,1
They also have a longer service life than other computers (I have several friends who still use the older Apple PowerBooks).,service life,1,186,1
If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,ports,2,187,0
If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,processor,2,188,0
This laptop is a great price and has a sleek look.,price,1,37,1
This laptop is a great price and has a sleek look.,look,1,189,1
I especially like the keyboard which has chiclet type keys.,keyboard,1,52,1
I especially like the keyboard which has chiclet type keys.,keys,1,120,1
Runs Hot  I thought we were paying for quality in our decision to buy an Apple product.,quality,0,5,2
"For the not so good, I got the stock screen - which is VERY glossy.",stock screen,0,190,2
The gray color was a good choice.,gray color,1,191,1
I would like to have volume buttons rather than the adjustment that is on the front.,volume buttons,0,192,2
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,processor,0,188,2
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,computing,0,193,2
I bought a protector for my key pad and it works great :),protector,2,194,0
I bought a protector for my key pad and it works great :),key pad,1,195,1
The magnetic plug-in power charging power cord is great (I even put it to the test by accident)- excellent innovation!,magnetic plug-in power charging power cord,1,196,1
It seems they could have updated XP and done without creating Vista.,XP,1,106,1
It seems they could have updated XP and done without creating Vista.,Vista,0,108,2
"  It is easy to use, fast and has great graphics for the money.",graphics,1,197,1
"  It is easy to use, fast and has great graphics for the money.",use,1,8,1
I like how the Mac OS is so simple and easy to use.,Mac OS,1,182,1
I like how the Mac OS is so simple and easy to use.,use,1,8,1
"While Apple's saving grace is the fact that they at least stand behind their products, and their support is great, it would be nice if their products were more reliable to justify the premium.",support,1,198,1
"I was ready to take it back for a refund, but the Geek Squad camed through and pointed me in the right direction to get it fixed.",Geek Squad,1,199,1
only good thing is the graphics quality.,graphics quality,1,200,1
"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.",Appleworks,0,201,2
"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.",browser,0,51,2
The paint wears off easily due to the keyboard being farther back than usual.,paint,0,202,2
The paint wears off easily due to the keyboard being farther back than usual.,keyboard,0,52,2
I had purchased it from a major electronics store and took it to their service department to find out what the problem was.,service department,2,203,0
The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.,warrenty,1,56,1
The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.,warrentys,0,204,2
I always use a backup hard disk to store important files at all times.,hard disk,2,205,0
"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!",CD drive,0,206,2
"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!",running,0,207,2
But the screen size is not that bad for email and web browsing.,screen size,1,208,1
But the screen size is not that bad for email and web browsing.,web browsing,2,90,0
Once I removed all the software the laptop loads in 15-20 seconds.,software,0,28,2
Once I removed all the software the laptop loads in 15-20 seconds.,loads,2,209,0
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,trackpad,0,210,2
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,external mouse,2,22,0
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,trackpad,0,210,2
This computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.,games,0,103,2
"Obviously one of the most important features of any computer is the ""human interface.",features,2,10,0
"Obviously one of the most important features of any computer is the ""human interface.",human interface,2,211,0
"Yeah, of course smarty pants ""fix it now"")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did).",inbuilt applications,0,212,2
"Yeah, of course smarty pants ""fix it now"")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did).",Software,0,213,2
The body is a bit cheaply made so it will be interesting to see how long it holds up.,body,0,214,2
The i5 blows my desktop out of the water when it comes to rendering videos.,i5,0,215,2
"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.",antivirus software,2,216,0
